,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
119,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,cows,mammals,fruit,F
120,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,cobras,reptiles,mammals,G
121,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,ticks,insects,fishes,G
122,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,tortoises,reptiles,mammals,H
123,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,beetles,insects,fishes,H
124,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,pythons,reptiles,mammals,I
125,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,bees,insects,fishes,I
126,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,pigeons,birds,reptiles,A
127,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,kiwis,fruits,insects,A
128,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,vultures,birds,reptiles,B
129,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,oranges,fruits,insects,B
130,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,salmon,fishes,birds,C
131,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,bears,mammals,fruit,C
132,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,tunas,fishes,birds,D
133,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,monkeys,mammals,fruit,D
134,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,trouts,fishes,birds,E
135,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,cows,mammals,fruit,E
136,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,cobras,reptiles,mammals,F
137,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,ticks,insects,fishes,F
138,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,tortoises,reptiles,mammals,G
139,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,beetles,insects,fishes,G
140,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,pythons,reptiles,mammals,H
141,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,bees,insects,fishes,H
142,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,parrots,birds,reptiles,I
143,8,say,Mismatching,Babies say that,Token,Category,T8,0,0,novice,watermellon,fruits,insects,I
144,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,vultures,birds,reptiles,A
145,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,oranges,fruits,insects,A
146,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,salmon,fishes,birds,B
147,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,bears,mammals,fruit,B
148,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,tunas,fishes,birds,C
149,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,monkeys,mammals,fruit,C
150,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,trouts,fishes,birds,D
151,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,cows,mammals,fruit,D
152,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,cobras,reptiles,mammals,E
153,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,ticks,insects,fishes,E
154,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,tortoises,reptiles,mammals,F
155,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,beetles,insects,fishes,F
156,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,pythons,reptiles,mammals,G
157,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,bees,insects,fishes,G
158,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,parrots,birds,reptiles,H
159,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,watermellon,fruits,insects,H
160,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,pigeons,birds,reptiles,I
161,9,say,Matching,Babies say that,Token,Category,T9,0,1,novice,kiwis,fruits,insects,I
